model,test_start,test_end,users_in_window,total_n_test,total_n_train,accuracy_top1,f1_macro_top1,recall@1,recall@3,recall@5,mrr@1,mrr@3,mrr@5
baseline,2025-03-07 14:50:13.611001-03:00,2025-03-14 14:50:13.611001-03:00,1,462,15170,0.08225108225108226,0.003100939980735377,0.08225108225108226,0.17532467532467533,0.24675324675324675,0.08225108225108226,0.11580086580086592,0.1329004329004331
baseline,2025-03-07 22:34:49.777003-03:00,2025-03-14 22:34:49.777003-03:00,1,802,3626,0.04114713216957606,0.0008320201701859439,0.04114713216957606,0.12718204488778054,0.15211970074812967,0.04114713216957606,0.07522859517871994,0.08065253532834589
baseline,2025-03-08 08:47:57.581000-03:00,2025-03-15 08:47:57.581000-03:00,1,4,472,0.5,0.2222222222222222,0.5,0.75,0.75,0.5,0.5833333333333333,0.5833333333333333
baseline,2025-03-08 10:28:20.800009-03:00,2025-03-15 10:28:20.800009-03:00,1,269,4459,0.20817843866171004,0.012922579900773046,0.20817843866171004,0.5241635687732342,0.6877323420074349,0.20817843866171004,0.3339529120198267,0.37447335811648097
baseline,2025-03-10 14:14:43.247008-03:00,2025-03-17 14:14:43.247008-03:00,1,41,69,0.1951219512195122,0.08111888111888112,0.1951219512195122,0.3170731707317073,0.4146341463414634,0.1951219512195122,0.24796747967479674,0.267479674796748
baseline,2025-03-10 16:21:46.497003-03:00,2025-03-17 16:21:46.497003-03:00,1,347,5729,0.01729106628242075,0.0003802763341361389,0.01729106628242075,0.040345821325648415,0.11527377521613832,0.01729106628242075,0.027377521613832854,0.04452449567723342
baseline,2025-03-11 19:11:24.650007-03:00,2025-03-18 19:11:24.650007-03:00,1,101,5758,0.04950495049504951,0.007949125596184421,0.04950495049504951,0.04950495049504951,0.06930693069306931,0.04950495049504951,0.04950495049504951,0.05396039603960396
baseline,2025-03-13 07:19:11.962001-03:00,2025-03-20 07:19:11.962001-03:00,1,885,21996,0.012429378531073447,0.00020782165123748347,0.012429378531073447,0.11073446327683616,0.14689265536723164,0.012429378531073447,0.050659133709981194,0.05879472693032018
baseline,2025-03-13 07:29:04.576003-03:00,2025-03-20 07:29:04.576003-03:00,1,1181,9314,0.029635901778154106,0.00021479772191673215,0.029635901778154106,0.06519898391193904,0.09060118543607112,0.029635901778154106,0.0454417160598363,0.051284222410386694
baseline,2025-03-13 09:14:25.081005-03:00,2025-03-20 09:14:25.081005-03:00,1,81,2433,0.09876543209876543,0.004228329809725159,0.09876543209876543,0.1728395061728395,0.2345679012345679,0.09876543209876543,0.13168724279835392,0.1440329218106996
